station_code,station_name,lat,lon,municipality_sk,municipality_name,province_sk,number_of_monuments
OT,Oisterwijk,51.582221984863,5.1941666603088,ca46c1b9512a7a8315fa3c5a946e8265,Oisterwijk,6512bd43d9caa6e02c990b0a82652dca,79
BTL,Boxtel,51.58433,5.31912,084b6fbb10729ed4da8c3d3f5a3ae7c9,Boxtel,6512bd43d9caa6e02c990b0a82652dca,90
KBK,Klarenbeek,52.17805480957,6.0836110115051,ad61ab143223efbc24c7d2583be69251,Voorst,1679091c5a880faf6fb5e6087eb1b2dc,166
DVD,Duivendrecht,52.323333740234,4.9363889694214,9b8619251a19057cff70779273e95aa6,Ouder-Amstel,c9f0f895fb98ab9159f51fd0297e236d,36
VHP,Vroomshoop,52.4571921,6.5696679,20f07591c6fcb220ffe637cda29bb3f6,Twenterand,a87ff679a2f3e71d9181a67b7542122c,25
LAA,Den Haag Laan v NOI,52.078609466553,4.3427777290344,3fe94a002317b5f9259f82690aeea4cd,Leidschendam-Voorburg,45c48cce2e2d7fbdea1afc51c7c6ad26,124
SOG,Schin op Geul,50.856388092041,5.8722224235535,03c6b06952c750899bb03d998e631860,Valkenburg aan de Geul,c20ad4d76fe97759aa27a0c99bff6710,181
OP,Opheusden,51.9261615,5.6371145,49182f81e6a13cf5eaa496d51fea6406,Neder-Betuwe,1679091c5a880faf6fb5e6087eb1b2dc,48
OST,Olst,52.334720611572,6.1130557060242,26e359e83860db1d11b6acca57d8ea88,Olst-Wijhe,a87ff679a2f3e71d9181a67b7542122c,114
NH,Nuth,50.919445037842,5.8927779197693,cd00692c3bfe59267d5ecfac5310286c,Beekdaelen,c20ad4d76fe97759aa27a0c99bff6710,252
HZE,Heeze,51.384998321533,5.5694446563721,e56954b4f6347e897f954495eab16a88,Heeze-Leende,6512bd43d9caa6e02c990b0a82652dca,46
VD,Vorden,52.1071949,6.3170457,11b9842e0a271ff252c1903e7132cd68,Bronckhorst,1679091c5a880faf6fb5e6087eb1b2dc,352
ZVT,Zandvoort aan Zee,52.3752784729,4.5327777862549,3988c7f88ebcb58c6ce932b957b6f332,Zandvoort,c9f0f895fb98ab9159f51fd0297e236d,12
GZ,Gilze-Rijen,51.583610534668,4.9261112213135,eae27d77ca20db309e056e3d2dcd7d69,Gilze en Rijen,6512bd43d9caa6e02c990b0a82652dca,93
BDM,Bedum,53.3068857,6.593054,2f2b265625d76a6704b08093c652fd79,Het Hogeland,c4ca4238a0b923820dcc509a6f75849b,562
RD,Roodeschool,53.421262,6.7587,2f2b265625d76a6704b08093c652fd79,Het Hogeland,c4ca4238a0b923820dcc509a6f75849b,562
UHM,Uithuizermeeden,53.4145845,6.7202975,2f2b265625d76a6704b08093c652fd79,Het Hogeland,c4ca4238a0b923820dcc509a6f75849b,562
BSD,Beesd,51.899444580078,5.1944446563721,6da37dd3139aa4d9aa55b8d237ec5d4a,West Betuwe,1679091c5a880faf6fb5e6087eb1b2dc,323
HGL,Hengelo,52.261665344238,6.7938890457153,c16a5320fa475530d9583c34fd356ef5,Hengelo (O.),a87ff679a2f3e71d9181a67b7542122c,77
BP,Buitenpost,53.2564547,6.1446496,1679091c5a880faf6fb5e6087eb1b2dc,Achtkarspelen,c81e728d9d4c2f636f067f89cc14862c,66
BZL,Kapelle-Biezelinge,51.480834960938,3.9561111927033,4c5bde74a8f110656874902f07378009,Kapelle,d3d9446802a44259755d38e6d163e820,49
SDM,Schiedam Centrum,51.921243812803,4.4089937210083,5878a7ab84fb43402106c575658472fa,Schiedam,45c48cce2e2d7fbdea1afc51c7c6ad26,236
HLO,Heiloo,52.599445343018,4.7005553245544,da4fb5c6e93e74d3df8527599fa62642,Heiloo,c9f0f895fb98ab9159f51fd0297e236d,45
RM,Roermond,51.193054199219,5.9941668510437,9188905e74c28e489b44e954ec0b9bca,Roermond,c20ad4d76fe97759aa27a0c99bff6710,296
ZWD,Zwijndrecht,51.814998626709,4.6416668891907,96da2f590cd7246bbde0051047b0d6f7,Zwijndrecht,45c48cce2e2d7fbdea1afc51c7c6ad26,14
CL,Culemborg,51.946666717529,5.2269444465637,c0c7c76d30bd3dcaefc96f40275bdc0a,Culemborg,1679091c5a880faf6fb5e6087eb1b2dc,141
O,Oss,51.765556335449,5.5322222709656,45fbc6d3e05ebd93369ce542e8f2322d,Oss,6512bd43d9caa6e02c990b0a82652dca,239
LEDN,Leiden Centraal,52.166110992432,4.4816665649414,2a79ea27c279e471f4d180b08d62b00a,Leiden,45c48cce2e2d7fbdea1afc51c7c6ad26,1242
WC,Wijchen,51.811668395996,5.730833530426,35f4a8d465e6e1edc05f3d8ab658c551,Wijchen,1679091c5a880faf6fb5e6087eb1b2dc,97
HLG,Harlingen,53.1704205,5.4251932,c9f0f895fb98ab9159f51fd0297e236d,Harlingen,c81e728d9d4c2f636f067f89cc14862c,529
MES,Meerssen,50.882879392551,5.7509994506836,f340f1b1f65b6df5b5e3f94d95b11daf,Meerssen,c20ad4d76fe97759aa27a0c99bff6710,110
VS,Vlissingen,51.445835113525,3.5952777862549,9dcb88e0137649590b755372b040afad,Vlissingen,d3d9446802a44259755d38e6d163e820,313
HTN,Houten,52.03402,5.16821,8613985ec49eb8f757ae6439e879bb2a,Houten,8f14e45fceea167a5a36dedd4bea2543,147
DTC,Doetinchem,51.9585962,6.2962148,9a1158154dfa42caddbd0694a4e9bdc8,Doetinchem,1679091c5a880faf6fb5e6087eb1b2dc,35
